Geo Type,Geo ID,Population,Cancer,Historic Redlining Score,Hazardous Waste Proximity,Routine Checkup,Mammogram,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status,Household Characteristics
tract,26049010115,914,9.0%,,21,76.7%,76.7%,74,85,43,62
tract,26057000300,4206,9.0%,,51,77.4%,73.1%,62,87,22,72
tract,26121000900,3351,9.0%,3.7,67,77.8%,73.8%,70,11,24,69
tract,26099268200,3848,9.0%,,52,78.5%,80.2%,47,10,20,7
tract,26099982100,0,9.0%,,56,78.5%,80.2%,,,,
tract,26145011100,1767,9.0%,,41,79.2%,77.0%,31,27,22,56
tract,26099223400,10741,9.0%,,56,79.3%,81.1%,15,1,21,17
tract,26099224400,5346,9.0%,,57,78.5%,76.5%,24,2,15,48
tract,26099225800,6975,9.0%,,59,78.3%,78.7%,62,54,40,80
tract,26099230400,3471,9.0%,,69,78.0%,79.3%,13,28,26,17
tract,26125126300,4886,9.0%,,0,77.8%,73.8%,38,41,8,10
tract,26077001801,4051,9.0%,,81,76.4%,76.2%,48,80,40,27
tract,26099241900,5138,9.0%,,64,79.1%,78.1%,55,77,42,31
tract,26099243500,6533,9.0%,,65,78.6%,79.5%,36,3,59,26
tract,26125130100,2298,9.0%,,15,77.6%,72.8%,21,54,14,44
tract,26077003302,6419,9.0%,,61,76.6%,76.5%,37,30,26,15
tract,26151971100,3796,9.0%,,0,77.6%,75.0%,78,87,9,71
tract,26125196800,4316,9.0%,,67,81.2%,79.0%,4,38,70,31
tract,26081010600,12560,9.0%,,22,76.8%,75.7%,2,2,14,37
tract,26081011101,4668,9.0%,,50,76.9%,76.0%,25,35,15,17
tract,26125157600,4949,9.0%,,37,79.3%,78.5%,43,11,56,47
tract,26125161100,3360,9.0%,,69,85.0%,80.4%,74,58,77,93
tract,26139020900,4413,9.0%,,65,79.2%,75.1%,48,71,12,28
tract,26139021801,4611,9.0%,,48,78.8%,76.5%,26,69,20,71
tract,26163591900,5644,9.0%,,68,78.4%,76.3%,46,24,16,40
tract,26161420200,3789,9.0%,,28,73.4%,75.9%,12,32,6,27
tract,26147651200,2016,9.0%,,0,76.9%,74.8%,64,20,13,79
tract,26087339000,3121,9.0%,,0,76.7%,76.5%,39,27,31,27
tract,26111290900,8077,9.0%,,67,77.8%,80.4%,14,3,30,41
tract,26115832500,4442,9.0%,,38,77.8%,71.3%,66,18,23,49
tract,26117971100,5092,9.0%,,36,77.1%,76.3%,42,79,12,62
tract,26099262200,4528,9.0%,,82,79.3%,78.0%,50,17,45,67
tract,26163564502,3758,9.0%,,65,80.7%,82.6%,20,21,50,41
tract,26163576400,3541,9.0%,2.0,73,77.5%,79.6%,21,50,34,17
tract,26163576600,4004,9.0%,,72,77.1%,79.6%,25,40,37,76
tract,26163584500,2662,9.0%,,79,78.8%,78.5%,49,17,65,88
tract,26163580900,3768,9.0%,3.0,80,77.3%,76.2%,47,10,27,95
tract,26111291500,4255,9.0%,,13,75.4%,76.5%,75,77,20,22
tract,26049011713,3500,8.9%,,37,77.2%,74.8%,71,49,25,25
tract,26049013402,1847,8.9%,,17,76.6%,81.5%,26,27,3,23
tract,26099261300,2876,8.9%,,77,78.2%,76.9%,47,16,35,30
tract,26139021901,4531,8.9%,,48,78.8%,78.1%,7,24,13,21
tract,26121003400,4227,8.9%,,44,77.0%,76.8%,23,33,23,28
tract,26155031500,6385,8.9%,,0,76.4%,75.2%,38,28,12,47
tract,26159011002,6661,8.9%,,48,78.0%,78.6%,9,48,20,25
tract,26163593000,5489,8.9%,,70,78.2%,79.3%,28,60,33,47
tract,26065004801,4232,8.9%,,49,77.4%,78.8%,28,70,38,8
tract,26065005900,5368,8.9%,,34,76.5%,78.8%,39,25,11,37
tract,26067031900,6502,8.9%,,31,77.3%,72.6%,45,73,21,32
tract,26005030702,4850,8.9%,,21,77.1%,78.2%,16,34,8,33
tract,26005031000,6289,8.9%,,18,77.5%,75.1%,62,73,35,44
tract,26075000800,4633,8.9%,1.5,52,75.6%,79.2%,53,12,31,39
tract,26021021000,5248,8.9%,,56,78.3%,72.0%,54,86,38,69
tract,26017286500,1808,8.9%,4.0,18,77.4%,72.7%,84,67,44,17
tract,26021000900,2049,8.9%,,61,77.9%,79.7%,19,63,39,22
tract,26025001200,2289,8.9%,3.0,46,77.4%,76.7%,58,10,24,61
tract,26047970200,5712,8.9%,,13,77.6%,78.5%,64,40,33,47
tract,26049011010,5497,8.9%,,51,77.4%,76.9%,52,65,31,25
tract,26055551200,3259,8.9%,,37,78.8%,78.2%,61,78,21,50
tract,26099254200,4328,8.9%,,73,78.8%,78.0%,39,35,32,61
tract,26121002000,3686,8.9%,,73,76.4%,75.7%,69,41,20,45
tract,26099215300,4452,8.9%,,52,78.3%,80.2%,38,35,12,52
tract,26121003300,5177,8.9%,,25,77.0%,73.4%,56,69,11,38
tract,26099221200,6004,8.9%,,50,77.6%,81.7%,26,76,26,10
tract,26099221800,5232,8.9%,,42,78.3%,79.9%,15,21,35,16
tract,26123970900,4564,8.9%,,40,76.3%,73.0%,40,72,14,70
tract,26125121500,3542,8.9%,,0,77.2%,78.2%,47,72,21,60
tract,26099231000,4397,8.9%,,70,78.8%,78.3%,56,76,26,65
tract,26125183700,5696,8.9%,2.8,73,77.4%,79.3%,3,22,21,1
tract,26125134500,3175,8.9%,,53,77.7%,77.5%,29,23,22,12
tract,26125190200,4426,8.9%,,36,78.0%,78.3%,5,2,12,3
tract,26125193600,2491,8.9%,,58,77.6%,72.0%,18,1,25,55
tract,26125144900,3821,8.9%,,41,77.5%,70.5%,85,43,59,18
tract,26081004400,7606,8.9%,2.9,83,77.0%,75.2%,28,56,25,8
tract,26081010101,5794,8.9%,,15,76.4%,73.9%,24,42,7,33
tract,26081011200,4236,8.9%,3.0,59,77.0%,74.3%,23,52,26,26
tract,26081014803,3312,8.9%,,63,77.2%,76.9%,2,7,39,7
tract,26147650100,4027,8.9%,,16,77.4%,74.1%,38,45,18,40
tract,26087332500,3575,8.9%,,0,76.0%,75.7%,52,69,2,24
tract,26159011300,4296,8.9%,,0,77.6%,72.0%,78,90,46,72
tract,26165380100,5015,8.9%,,25,77.0%,72.0%,69,84,9,64
tract,26091061301,4042,8.9%,,70,77.5%,76.0%,75,98,56,98
tract,26163558700,2638,8.9%,,69,77.0%,80.2%,20,2,10,6
tract,26163569700,4574,8.9%,3.5,72,77.2%,78.0%,60,19,24,64
tract,26163584100,1597,8.9%,,78,76.1%,74.5%,54,12,25,70
tract,26099261600,1453,8.8%,,75,79.4%,77.9%,55,13,25,68
tract,26099267600,1436,8.8%,,73,79.0%,78.5%,34,4,28,27
tract,26093712102,3039,8.8%,,39,77.5%,79.9%,7,5,9,2
tract,26099231200,3586,8.8%,,76,78.0%,81.1%,39,54,45,38
tract,26125196000,6517,8.8%,,69,79.6%,76.7%,8,15,41,22
tract,26125197900,3433,8.8%,,72,78.9%,76.8%,5,10,40,56
tract,26107960800,5015,8.8%,,0,76.5%,73.2%,78,68,12,69
tract,26161403400,3064,8.8%,,72,73.8%,80.5%,0,21,27,4
tract,26161405200,5001,8.8%,,79,74.0%,80.4%,19,42,30,33
tract,26065003400,2396,8.8%,3.0,69,78.1%,78.2%,33,50,58,10
tract,26163563600,1956,8.8%,,67,77.9%,82.4%,20,5,50,62
tract,26163584700,2188,8.8%,,75,78.0%,72.6%,61,48,31,81
tract,26065006301,4800,8.8%,,60,76.9%,80.0%,22,90,21,26
tract,26005031900,5152,8.8%,,25,76.2%,76.6%,60,58,29,62
tract,26049012601,3346,8.8%,,0,76.3%,73.0%,63,60,11,76
tract,26055550300,6776,8.8%,,0,78.8%,71.5%,54,52,9,76
tract,26099252100,2151,8.8%,3.0,48,78.1%,79.7%,16,4,16,25
tract,26099215500,7706,8.8%,,46,77.4%,77.0%,55,64,16,72
tract,26101000500,3616,8.8%,,0,76.6%,71.9%,67,51,42,53
tract,26103001700,2429,8.8%,,14,77.7%,74.0%,24,59,5,53
tract,26099226400,2655,8.8%,,63,78.3%,79.7%,23,6,22,29
tract,26077001701,3765,8.8%,1.8,71,77.3%,76.0%,62,75,41,10
tract,26125134000,4851,8.8%,,34,77.2%,76.8%,9,10,22,7
tract,26125196100,6200,8.8%,,67,78.7%,78.2%,8,11,51,13
tract,26081003400,5053,8.8%,2.9,85,78.1%,79.6%,9,82,52,20
tract,26081010401,5295,8.8%,,31,75.4%,76.5%,28,29,15,4
tract,26081011801,7640,8.8%,,60,77.5%,77.5%,16,65,20,33
tract,26139021301,3335,8.8%,,31,79.1%,82.0%,25,48,22,57
tract,26125180000,2677,8.8%,3.0,83,77.0%,76.2%,40,9,23,13
tract,26125180100,2787,8.8%,3.0,79,76.7%,76.9%,16,62,7,29
tract,26161415600,2373,8.8%,,66,73.9%,78.0%,6,83,47,25
tract,26149040100,3684,8.8%,,21,76.4%,75.8%,18,32,25,54
tract,26099261800,2915,8.8%,,77,78.9%,79.3%,32,48,51,64
tract,26093744400,2113,8.8%,,46,77.3%,78.3%,21,2,20,57
tract,26163562500,1834,8.8%,,69,76.5%,80.4%,36,45,24,25
tract,26163565600,2111,8.8%,,80,76.9%,78.5%,29,2,17,36
tract,26163569200,2458,8.8%,3.0,71,77.0%,75.7%,79,94,25,26
tract,26163580200,2888,8.8%,3.3,74,77.4%,71.1%,69,33,26,19
tract,26163583600,2612,8.8%,,73,76.6%,80.2%,31,27,33,3
tract,26081014602,11009,8.7%,,48,77.0%,76.3%,2,22,9,25
tract,26093742402,3828,8.7%,,58,76.8%,78.0%,39,55,20,28
tract,26093744900,3194,8.7%,,32,77.4%,78.1%,22,42,17,43
tract,26149040300,2843,8.7%,,25,77.1%,73.1%,66,92,36,61
tract,26155030700,3182,8.7%,,60,76.3%,75.4%,54,16,13,59
tract,26163557100,2482,8.7%,,66,78.4%,79.2%,55,60,43,91
tract,26163559200,2142,8.7%,,70,76.4%,80.4%,22,9,31,34
tract,26023951400,4067,8.7%,,0,77.2%,67.8%,80,97,9,97
tract,26023951600,3253,8.7%,,0,76.6%,71.6%,65,96,30,83
tract,26037010801,4031,8.7%,,48,77.4%,74.2%,42,45,8,68
tract,26033970600,5105,8.7%,,0,78.5%,76.9%,44,63,69,78
tract,26099251900,3026,8.7%,3.0,51,78.4%,78.5%,26,47,13,31
tract,26099268000,5421,8.7%,3.0,83,79.6%,76.5%,49,81,60,87
tract,26099221500,1394,8.7%,,48,77.9%,75.4%,31,2,14,47
tract,26099231400,5781,8.7%,,79,78.2%,70.6%,81,43,29,49
tract,26125123000,2454,8.7%,,18,76.6%,73.2%,47,28,12,15
tract,26077001907,4403,8.7%,,71,76.0%,77.8%,67,43,38,38
tract,26077002802,6530,8.7%,,51,76.2%,76.8%,60,60,30,50
tract,26125193400,4497,8.7%,,53,78.6%,78.2%,5,10,45,15
tract,26125136000,2744,8.7%,,59,78.8%,76.0%,30,95,64,54
tract,26125139400,5378,8.7%,,65,77.5%,79.3%,3,61,7,9
tract,26077002005,4133,8.7%,,65,77.5%,78.8%,56,32,42,61
tract,26125145300,4370,8.7%,,47,76.8%,75.0%,42,14,23,20
tract,26125145900,3094,8.7%,,55,79.0%,72.4%,64,42,60,99
tract,26161406000,3510,8.7%,,73,74.5%,77.9%,5,53,54,32
tract,26139020400,4477,8.7%,,40,79.2%,76.1%,19,49,5,16
tract,26139021202,7366,8.7%,,54,78.5%,73.8%,36,82,9,31
tract,26125170400,3863,8.7%,3.0,69,77.2%,77.5%,10,25,20,18
tract,26163588400,5370,8.7%,,63,80.1%,81.2%,27,10,58,24
tract,26163590500,6326,8.7%,,57,77.3%,75.7%,44,47,17,50
tract,26163593300,3349,8.7%,,65,78.2%,73.0%,55,29,32,89
tract,26081013801,1476,8.7%,,81,78.0%,69.9%,69,65,42,64
tract,26161420000,3385,8.7%,,46,73.5%,77.1%,12,40,47,12
tract,26149041101,4305,8.7%,,20,76.0%,75.1%,53,70,19,80
tract,26111290600,2418,8.7%,,85,75.6%,75.9%,78,98,24,68
tract,26091060800,3313,8.7%,,22,77.0%,77.1%,58,51,20,35
tract,26093742401,1257,8.7%,,58,76.8%,78.0%,39,55,20,28
tract,26117971200,5910,8.7%,,50,77.2%,75.4%,64,79,18,40
tract,26099260800,2708,8.7%,,85,78.9%,79.2%,72,3,9,62
tract,26099261700,2585,8.7%,,77,80.9%,78.9%,77,68,64,20
tract,26163563500,5976,8.7%,,61,79.1%,81.0%,7,3,24,28
tract,26163563800,3115,8.7%,,69,77.9%,79.4%,6,15,31,30
tract,26163565800,3550,8.7%,,76,77.6%,75.5%,54,67,20,60
tract,26163569300,3427,8.7%,3.0,71,77.3%,76.7%,58,35,17,31
tract,26163574202,2948,8.7%,,77,77.9%,82.4%,42,91,43,25
tract,26163576000,1878,8.7%,,,78.2%,80.4%,,,,
tract,26163580400,2603,8.7%,2.4,74,76.2%,78.4%,14,5,16,7
tract,26163580800,1455,8.7%,3.8,81,77.3%,72.2%,40,30,12,47
tract,26163583300,2662,8.7%,,72,76.7%,74.2%,36,0,43,32
tract,26163583700,3612,8.7%,,73,78.1%,76.8%,48,6,32,40
tract,26045020102,3162,8.7%,,70,78.8%,78.9%,47,34,56,50
tract,26061000600,3844,8.6%,,19,76.2%,74.6%,53,78,9,10
tract,26099254000,1641,8.6%,,67,77.4%,80.0%,27,42,11,65
tract,26099222101,5665,8.6%,,59,78.4%,77.5%,25,62,36,68
tract,26125121800,5155,8.6%,,33,77.0%,76.8%,9,61,10,5
tract,26125173200,2803,8.6%,2.6,72,77.2%,79.3%,5,7,26,4
tract,26147658100,2605,8.6%,,0,76.8%,73.3%,43,13,5,15
tract,26163567800,4909,8.6%,,73,79.6%,76.8%,62,70,58,94
tract,26065005402,3635,8.6%,,68,77.7%,76.9%,67,61,32,22
tract,26067030300,2812,8.6%,,61,77.2%,72.0%,80,70,19,79
tract,26005030500,7850,8.6%,,0,76.8%,77.9%,17,19,26,82
tract,26005030600,5338,8.6%,,19,76.1%,78.2%,55,27,15,21
tract,26075000200,2785,8.6%,3.6,58,77.2%,69.8%,97,93,58,71
tract,26015010300,8161,8.6%,,22,76.9%,77.7%,4,41,5,5
tract,26007000400,2912,8.6%,,0,77.3%,71.5%,70,73,16,43
tract,26017281300,2823,8.6%,4.0,18,77.1%,79.0%,46,31,19,65
tract,26025001100,4128,8.6%,3.0,47,78.3%,74.7%,51,97,50,77
tract,26037010105,3909,8.6%,,31,78.1%,78.8%,12,21,32,53
tract,26049002900,1809,8.6%,2.7,48,83.3%,77.1%,82,94,70,61
tract,26099255500,1727,8.6%,,78,78.0%,77.7%,61,6,45,2
tract,26059051200,3586,8.6%,,13,76.3%,70.5%,83,90,6,83
tract,26121003600,6529,8.6%,,34,77.1%,76.3%,40,20,25,46
tract,26123970700,4335,8.6%,,13,76.4%,68.5%,82,97,23,63
tract,26099232400,5769,8.6%,,83,78.1%,79.2%,60,62,50,85
tract,26125124500,6174,8.6%,,28,77.1%,73.6%,60,91,11,36
tract,26125184000,2950,8.6%,2.6,72,76.7%,80.9%,11,22,8,5
tract,26125130200,5592,8.6%,,0,76.4%,72.2%,64,39,6,21
tract,26125133002,3289,8.6%,,57,76.8%,76.2%,6,19,18,24
tract,26077003500,4588,8.6%,,72,76.4%,79.0%,28,9,26,4
tract,26077006103,5378,8.6%,,65,75.9%,76.1%,26,57,11,46
tract,26155030500,3289,8.6%,,37,76.7%,74.0%,41,11,4,21
tract,26125145100,2375,8.6%,,41,76.5%,74.6%,39,11,23,13
tract,26125154600,3017,8.6%,,45,78.9%,79.6%,15,13,46,8
tract,26081010402,4321,8.6%,,53,76.1%,72.7%,42,33,8,64
tract,26125160800,3771,8.6%,,60,84.9%,81.3%,30,33,86,32
tract,26081012400,4094,8.6%,1.6,82,77.5%,80.1%,2,26,11,9
tract,26125166700,2334,8.6%,,50,80.9%,78.7%,18,9,70,50
tract,26125168400,3821,8.6%,,68,78.8%,81.1%,1,18,53,55
tract,26081013100,5691,8.6%,,61,76.7%,74.2%,13,34,24,57
tract,26081014502,8142,8.6%,,78,76.6%,71.7%,53,97,46,63
tract,26087340500,2812,8.6%,,18,76.1%,78.3%,54,27,23,53
tract,26093722100,3174,8.6%,,48,77.4%,78.9%,27,59,4,37
tract,26099260100,2910,8.6%,,75,79.3%,78.2%,53,30,40,75
tract,26163562800,3413,8.6%,,71,76.5%,80.1%,21,14,28,44
tract,26163563300,2823,8.6%,,70,78.8%,79.7%,24,22,44,41
tract,26163564800,4661,8.6%,,70,78.5%,79.5%,31,18,50,90
tract,26163575600,1624,8.6%,,85,77.3%,73.7%,56,15,29,63
tract,26007000500,1895,8.5%,,0,76.8%,69.7%,68,52,21,80
tract,26033970400,2535,8.5%,,0,77.5%,75.7%,62,32,51,86
tract,26081004300,3946,8.5%,3.0,86,78.4%,79.2%,37,56,43,3
tract,26093731100,3850,8.5%,,35,76.7%,77.1%,23,18,7,4
tract,26125197000,4882,8.5%,,72,78.8%,78.3%,5,45,48,17
tract,26125145600,4746,8.5%,,26,76.5%,73.3%,36,30,22,19
tract,26145002100,4417,8.5%,2.3,44,80.1%,76.9%,45,40,63,9
tract,26163558900,1791,8.5%,,73,77.4%,79.2%,23,7,25,7
tract,26013000200,4286,8.5%,,0,77.2%,71.8%,51,91,55,44
tract,26025003100,2977,8.5%,,22,75.7%,73.2%,73,92,12,47
tract,26027002100,5589,8.5%,,53,77.9%,75.3%,67,86,45,50
tract,26045020901,2997,8.5%,,59,76.5%,74.0%,66,61,23,41
tract,26045021301,2911,8.5%,,29,77.2%,70.5%,36,60,18,45
tract,26045020103,4077,8.5%,,66,79.0%,77.1%,60,75,48,89
tract,26059050800,2192,8.5%,,29,75.5%,74.3%,60,79,15,48
tract,26049012906,2684,8.5%,,38,77.3%,82.0%,12,5,34,21
tract,26049013204,5666,8.5%,,55,75.6%,79.1%,47,81,21,3
tract,26055550500,5923,8.5%,,17,78.2%,75.2%,31,63,8,21
tract,26099251400,2859,8.5%,,54,77.2%,77.7%,36,30,10,42
tract,26099255200,4004,8.5%,,72,80.5%,80.4%,39,76,70,44
tract,26099247602,4561,8.5%,,54,79.1%,78.5%,29,79,30,43
tract,26099982300,104,8.5%,,83,77.6%,76.7%,,,13,
tract,26145010304,5127,8.5%,,49,79.8%,76.7%,76,41,60,24
tract,26099222102,9167,8.5%,,34,77.9%,80.1%,4,23,26,27
tract,26099224300,4946,8.5%,,60,78.2%,75.0%,22,6,13,13
tract,26099225200,6991,8.5%,,54,77.6%,80.3%,17,21,20,17
tract,26125121000,3302,8.5%,,16,76.7%,74.6%,39,72,23,62
tract,26125122400,7017,8.5%,,0,76.6%,74.1%,19,22,20,15
tract,26147628000,3250,8.5%,,42,77.8%,72.1%,61,52,33,45
tract,26103001900,1471,8.5%,,0,76.7%,76.0%,55,62,21,39
tract,26099240500,2713,8.5%,,64,79.2%,79.4%,40,54,39,90
tract,26125127700,6653,8.5%,,45,76.3%,77.3%,32,85,24,20
tract,26125130300,3904,8.5%,,18,77.1%,69.0%,30,64,29,6
tract,26165380700,3151,8.5%,,82,77.1%,68.3%,71,86,8,60
tract,26077005501,4087,8.5%,,68,77.9%,74.4%,63,78,50,99
tract,26125135200,3360,8.5%,,62,77.6%,76.8%,13,50,31,30
tract,26125197100,3016,8.5%,,70,79.0%,76.1%,7,27,58,27
tract,26125144701,3830,8.5%,,50,77.9%,71.7%,59,96,41,49
tract,26125145502,3840,8.5%,,40,76.8%,73.1%,45,30,13,41
tract,26125153000,2204,8.5%,2.0,75,77.2%,78.0%,6,15,17,4
tract,26081012004,4948,8.5%,,15,76.1%,75.1%,37,88,6,62
tract,26081012500,4943,8.5%,2.1,81,77.5%,80.6%,0,0,9,9
tract,26139021802,4640,8.5%,,37,78.9%,79.4%,18,16,9,22
tract,26139022105,6083,8.5%,,60,79.5%,76.9%,31,62,44,61
tract,26125181200,6578,8.5%,,85,75.8%,74.1%,46,18,29,55
tract,26161416200,5194,8.5%,,60,73.6%,79.1%,15,21,38,42
tract,26115830600,2946,8.5%,,0,76.7%,70.7%,39,36,31,43
tract,26093720100,3588,8.5%,,32,76.8%,75.7%,11,4,2,4
tract,26163516900,2052,8.5%,4.0,74,87.6%,81.5%,82,50,93,36
tract,26161403300,3794,8.5%,,68,73.1%,81.0%,6,60,39,46
tract,26161405400,2201,8.5%,,77,73.6%,79.3%,30,21,42,3
tract,26117970500,7617,8.5%,,14,76.1%,76.9%,24,25,10,3
tract,26099260700,3050,8.5%,,84,77.6%,76.7%,53,32,52,22
tract,26099261100,4778,8.5%,,78,78.9%,78.8%,69,54,53,61
tract,26163567900,2979,8.5%,,75,77.7%,78.9%,19,19,32,22
tract,26163572700,4267,8.5%,,70,77.5%,76.5%,54,15,35,76
tract,26021020700,2781,8.4%,,56,77.2%,73.6%,60,97,44,65
tract,26099251800,4098,8.4%,,56,79.3%,79.2%,26,18,60,39
tract,26099255400,2473,8.4%,,84,76.8%,77.1%,25,1,26,56
tract,26103000100,2330,8.4%,,22,77.7%,76.6%,38,76,3,4
tract,26125184400,2808,8.4%,3.0,76,76.3%,78.4%,27,42,31,8
tract,26125138600,2774,8.4%,,58,77.6%,77.6%,0,5,29,6
tract,26163567100,3562,8.4%,,68,77.7%,75.2%,56,94,45,60
tract,26075005400,6487,8.4%,,36,73.8%,79.5%,7,72,7,41
tract,26121003000,4427,8.4%,,15,76.1%,74.7%,39,66,18,33
tract,26145010700,5732,8.4%,3.8,51,79.3%,74.5%,74,75,46,38
tract,26099225100,3237,8.4%,,58,77.5%,79.9%,49,11,18,72
tract,26099225702,1691,8.4%,,59,77.6%,76.7%,32,2,17,27
tract,26099231100,3979,8.4%,,69,78.0%,76.6%,55,66,48,67
tract,26099231600,5322,8.4%,,82,78.0%,74.5%,88,87,42,96
tract,26077002905,8337,8.4%,,48,77.2%,79.6%,61,53,46,51
tract,26077003003,9003,8.4%,,39,76.3%,79.7%,8,1,20,19
tract,26125138100,5642,8.4%,,54,77.3%,76.6%,4,47,27,9
tract,26125145400,4323,8.4%,4.0,56,76.8%,74.1%,47,66,45,77
tract,26125154200,3252,8.4%,,51,76.9%,74.5%,42,57,27,77
tract,26125161400,4032,8.4%,,66,83.3%,79.1%,64,75,56,99
tract,26081011403,2852,8.4%,,62,76.4%,73.6%,39,75,50,27
tract,26081011600,7590,8.4%,,72,76.7%,79.0%,3,10,23,30
tract,26163588300,5150,8.4%,,58,78.1%,79.5%,43,56,31,26
tract,26159011900,5509,8.4%,,38,77.6%,76.4%,17,35,12,22
tract,26091061600,3601,8.4%,,73,76.3%,78.5%,89,76,51,79
tract,26093722300,2881,8.4%,,61,75.7%,76.4%,56,74,8,44
tract,26099261000,3787,8.4%,,83,79.4%,81.4%,43,29,67,69
tract,26099262400,3484,8.4%,,82,79.1%,78.5%,63,80,69,88
tract,26163551200,4002,8.4%,,53,77.9%,80.7%,5,3,29,15
tract,26163559000,2722,8.4%,,69,76.4%,79.1%,14,2,31,34
tract,26163565200,5321,8.4%,,73,78.6%,80.2%,35,74,59,50
tract,26163567300,4405,8.4%,,70,76.7%,78.2%,35,41,37,31
tract,26163568200,4089,8.4%,,80,77.0%,74.4%,27,7,28,92
tract,26163574700,4734,8.4%,2.0,69,76.8%,79.5%,25,41,9,45
tract,26163575500,3427,8.4%,3.0,81,76.9%,78.1%,32,8,38,48
tract,26163576300,2485,8.4%,,73,76.7%,80.2%,22,13,24,35
tract,26163584200,3720,8.4%,,76,78.9%,73.3%,78,53,56,82
tract,26139022900,6205,8.4%,,86,78.4%,76.0%,38,41,25,73
tract,26049011102,5513,8.3%,,36,77.0%,83.3%,36,70,34,58
tract,26081011701,5341,8.3%,,64,75.2%,76.2%,15,74,20,11
tract,26163569400,2643,8.3%,3.0,70,76.6%,77.9%,46,33,25,28
tract,26163575300,3292,8.3%,3.0,71,76.4%,77.0%,35,8,28,79
tract,26003000300,2967,8.3%,,0,76.5%,75.4%,32,67,43,15
tract,26037010203,1356,8.3%,,62,77.4%,72.4%,81,70,36,53
tract,26037010204,1873,8.3%,,53,77.3%,77.4%,6,50,3,36
tract,26045020403,2702,8.3%,,30,76.9%,76.4%,24,81,10,62
tract,26049010504,3804,8.3%,,32,79.1%,79.6%,39,37,57,48
tract,26049011213,5260,8.3%,,35,76.7%,80.6%,34,24,23,18
tract,26099255000,4458,8.3%,,63,79.8%,78.1%,68,30,53,82
tract,26099255300,3988,8.3%,3.0,77,80.0%,75.8%,49,30,46,91
tract,26099256000,2193,8.3%,3.0,72,78.8%,77.1%,67,23,47,82
tract,26121001901,3868,8.3%,,63,77.3%,74.3%,29,38,24,49
tract,26103000200,2078,8.3%,,22,77.4%,73.6%,60,45,17,4
tract,26125128800,1422,8.3%,,62,76.9%,77.5%,3,8,32,46
tract,26077002003,6169,8.3%,,65,76.8%,83.4%,10,21,44,27
tract,26099241200,4878,8.3%,,62,78.3%,77.1%,67,30,37,68
tract,26077002201,2198,8.3%,,67,74.6%,80.8%,64,30,40,20
tract,26125194300,3849,8.3%,,62,78.8%,79.7%,18,32,47,8
tract,26125136700,5557,8.3%,,65,78.6%,78.4%,11,12,51,64
tract,26127010300,6973,8.3%,,17,76.4%,73.3%,62,86,51,79
tract,26125160700,1657,8.3%,,59,84.9%,82.1%,16,20,77,67
tract,26163588100,2365,8.3%,,,77.1%,75.2%,,,,
tract,26161423600,2601,8.3%,,42,72.9%,75.1%,40,7,31,4
tract,26159012000,6062,8.3%,,13,77.7%,70.2%,80,92,58,68
tract,26163599000,5675,8.3%,,57,77.7%,77.2%,60,75,42,80
tract,26093740900,1910,8.3%,,45,76.5%,77.3%,9,6,28,49
tract,26099261200,2647,8.3%,,76,77.6%,78.4%,43,11,36,33
tract,26099261900,3081,8.3%,,79,78.7%,77.0%,60,20,52,70
tract,26163564200,4132,8.3%,,74,77.2%,80.2%,30,69,38,92
tract,26163569500,2702,8.3%,3.0,72,76.3%,76.8%,35,7,36,30
tract,26163569600,3512,8.3%,3.0,75,76.6%,76.5%,46,14,17,10
tract,26163576100,6070,8.3%,3.0,76,77.0%,76.0%,46,13,43,70
tract,26163577700,2391,8.3%,2.2,71,77.0%,78.6%,38,1,45,44
tract,26163580100,2010,8.3%,2.9,82,76.4%,75.0%,39,31,17,27
tract,26163581800,2730,8.3%,,71,75.3%,77.5%,78,4,34,66
tract,26045020104,3773,8.2%,3.0,68,78.1%,75.1%,53,15,56,90
tract,26049012602,1660,8.2%,,0,75.0%,75.0%,68,38,29,83
tract,26099260600,2859,8.2%,,83,77.0%,73.7%,79,13,25,76
tract,26099260900,4874,8.2%,,85,79.4%,78.4%,46,16,65,81
tract,26125180200,3553,8.2%,3.0,81,75.6%,78.4%,18,61,15,2
tract,26163566500,2335,8.2%,2.9,83,80.2%,71.9%,90,50,54,95
tract,26163569800,2220,8.2%,4.0,74,75.2%,77.9%,45,32,35,73
tract,26065005502,6473,8.2%,,69,77.0%,78.8%,49,77,49,86
tract,26067030200,2906,8.2%,,65,76.4%,74.6%,51,78,24,51
tract,26005030300,7796,8.2%,,50,75.8%,76.1%,19,14,4,5
tract,26005031200,5487,8.2%,,56,75.8%,76.8%,56,92,33,48
tract,26017281000,3908,8.2%,3.4,20,77.1%,75.3%,59,77,34,45
tract,26023950800,4558,8.2%,,19,75.0%,71.6%,67,81,3,63
tract,26045020601,3987,8.2%,,30,76.8%,75.7%,31,79,23,74
tract,26049012003,2985,8.2%,,33,76.3%,74.9%,81,47,30,87
tract,26061000900,5153,8.2%,,17,76.4%,74.8%,38,73,8,62
tract,26145011600,3482,8.2%,,34,82.5%,77.7%,44,81,72,96
tract,26147620000,4607,8.2%,,64,78.6%,73.2%,75,92,56,96
tract,26147626000,2042,8.2%,,48,77.2%,74.5%,70,34,22,65
